Country,Year,GDP [million Euro],Population,Emissions_GHG [thousand tonnes CO2eq],Emissions_NOx [tonne],Emissions_PM2.5 [tonne],Emissions_PM10 [tonne],Emissions_SOx [tonne],Emissions_NMVOC [tonne],Emissions_NH3 [tonne],Emissions_Pb [tonne],Emissions_Cd [tonne],Emissions_Hg [tonne],Emissions_As [tonne],Emissions_Ni [tonne],Emissions_Cr [tonne]
Poland,2015,430465.8,38005614,358370.74,706120,125890,226000,638780,667610,303830,298,9,9,18,88,38
Portugal,2015,179713.2,10374822,58973.97,163610,50980,70280,45810,153190,59150,26,2,1,2,23,8
Romania,2015,160149.8,19870647,81847.13,220360,110090,147500,157700,238910,189930,40,3,2,4,10,12
Slovenia,2015,38852.6,2062874,17506.1,34920,12950,14850,5480,32760,18750,5,1,0,1,1,1
Slovakia,2015,79888.1,5421349,33562.87,73190,20700,27640,66790,112070,29740,11,1,1,1,2,4
Finland,2015,211385,5471753,36264.19,138780,17690,31370,40820,88890,33530,15,1,1,2,16,17
Sweden,2015,455494.7,9747355,15639.77,147330,19190,37670,17710,154780,54540,8,0,0,1,7,5
Norway,2015,347632.1,5166493,41387.37,180300,25690,34070,16870,164880,29990,6,1,0,1,0,4
Switzerland,2015,632770.5,8237666,46313.2,72840,6780,14630,5630,86050,55600,15,1,1,0,0,0
United Kingdom,2015,2644716.5,64853393,508318.38,1025750,111810,171700,267910,819940,270580,107,5,5,17,121,43
Belgium,2016,430085.3,11311117,116662.33,186800,22230,31380,34060,116720,70280,27,3,1,1,5,6
Bulgaria,2016,48773.1,7153784,50267.41,109560,31630,47860,104950,77700,46120,68,2,1,4,6,7
Czechia,2016,177438.5,10553843,124461.24,192840,39870,51050,115110,224400,89920,17,1,2,1,5,10
Denmark,2016,283109.7,5707251,52837.43,113980,16990,26590,10450,110590,75180,12,1,0,0,3,2
Germany,2016,3134740,82175684,878975.43,1340620,96940,199610,311520,1141920,638200,161,12,9,7,145,77
Estonia,2016,21747.9,1315944,17627.09,30570,7760,12080,34930,21870,10200,35,1,1,9,5,9
Ireland,2016,270205.3,4726286,69258.11,114580,13250,28340,14440,109950,124830,6,0,0,1,6,3
Greece,2016,174494.2,10783748,88335.5,262170,39540,69320,80620,156510,64120,10,2,1,3,34,11
Spain,2016,1113840,46440099,287778.91,727600,124680,187060,214500,585520,457290,92,7,4,12,44,27
France,2016,2234129,66638391,433763.8,902430,140480,220830,136020,1001340,616260,85,3,4,5,38,31
Croatia,2016,47246.3,4190669,19198.41,57650,31600,42690,14810,72970,35700,8,1,0,0,4,2
Italy,2016,1695786.8,60665551,399039.49,699440,153060,186190,119220,884190,376560,203,5,7,9,30,35
Cyprus,2016,18929.3,848319,8821.95,13670,1030,1880,16060,8910,8400,0,0,0,0,6,0
Latvia,2016,25371.3,1968957,9062.02,33580,17870,27140,3450,39840,17190,3,1,0,0,0,1
Lithuania,2016,38889.9,2888558,13194.77,53780,5570,11570,14520,51710,36480,2,0,0,0,1,1
Luxembourg,2016,56208.1,576249,9627.98,25740,1480,2080,1050,10700,5500,1,0,0,0,0,0
Hungary,2016,116279.4,9830485,57759.91,119950,50700,71590,22980,128500,79300,9,2,1,2,2,9
Malta,2016,10541.1,450415,1831.96,6210,400,860,1770,2860,1370,1,0,0,0,0,0
Netherlands,2016,708337,16979120,198009.89,269650,17140,30390,27970,247350,129950,9,3,1,1,2,4
Austria,2016,357608,8700471,77423.91,171500,15460,27540,13290,111880,64980,20,1,1,0,0,0
Poland,2016,427091.8,37967209,361784.12,715960,129920,231730,532730,695980,304720,290,9,9,17,87,37
Portugal,2016,186489.8,10341330,61343.93,156780,50710,72050,45750,149760,59650,25,2,1,2,22,7
Romania,2016,170063.4,19760585,78546.08,211480,110160,144830,108740,236790,184860,39,3,1,4,8,12
Slovenia,2016,40443.2,2064188,18531.26,34340,12870,14940,4670,32940,18960,5,1,0,1,2,1
Slovakia,2016,81014.3,5426252,33948.67,69010,20950,26390,26420,113280,30590,11,1,1,1,2,5
Finland,2016,217518,5487308,40267.79,134600,18600,32570,39810,89830,33190,16,1,1,3,16,18
Sweden,2016,466266.5,9851017,14827.88,145050,19330,38320,18420,147830,53380,9,0,0,1,7,6
Norway,2016,333471.3,5210721,40749.35,170150,24820,33390,15720,162720,29880,6,0,0,1,0,4
Switzerland,2016,628729.6,8327126,46626.07,71000,6690,14570,5190,83840,55400,15,1,1,0,0,0
United Kingdom,2016,2434119.2,65379044,483469.31,935820,109810,173050,196740,799410,274500,98,5,4,16,117,43
Belgium,2017,445050.1,11351727,116465.76,175930,20470,29600,32460,114930,68590,25,1,1,1,4,5
Bulgaria,2017,52531.3,7101859,53521.67,99500,31480,46640,102830,77340,45010,75,2,1,4,6,7
Czechia,2017,194132.9,10578820,127156.68,191600,40810,52070,109930,223710,86000,17,1,2,2,5,10
Denmark,2017,294808.2,5748769,50458.23,110810,15790,26220,10660,108550,77880,12,1,0,0,3,2
Germany,2017,3267160,82521653,863618.16,1292310,95730,202440,302890,1147260,624070,167,12,9,6,145,77
Estonia,2017,23833.6,1315635,19698.37,31260,9190,14070,38630,22860,10520,36,1,1,10,6,9
Ireland,2017,297763.2,4784383,70298.93,110670,13070,29250,14980,114910,128640,5,0,0,1,6,3
Greece,2017,176903.4,10768193,92345.26,267640,40050,67670,90330,152530,63660,11,2,1,3,32,10
Spain,2017,1161867,46528024,300752.91,723970,124410,183650,218180,597600,476000,89,7,4,12,49,27
France,2017,2297242,66809816,445848.4,871630,134000,216900,129880,1003260,612350,86,3,3,5,31,30
Croatia,2017,49888.8,4154213,20601.7,58030,30430,41470,12660,70210,38820,8,1,0,1,4,2
Italy,2017,1736592.8,60589445,413600.02,645780,160120,192730,116920,924660,370830,206,5,7,8,30,35
Cyprus,2017,20245.3,854802,8643.54,13470,1020,1940,16260,11010,8460,0,0,0,0,6,0
Latvia,2017,26984.4,1950116,7650.22,33870,19610,28140,3610,40380,17680,3,1,0,0,0,1
Lithuania,2017,42276.3,2847904,14030.22,52080,5610,11710,13000,51490,36500,2,0,0,0,1,1
Luxembourg,2017,58168.8,590667,9942.19,22770,1310,1990,1070,10720,5640,2,0,0,0,0,0
Hungary,2017,127046,9797561,59610.1,121080,48540,67450,27690,125710,79930,9,2,1,2,3,12
Malta,2017,11941,460297,2016.17,5770,390,850,710,2980,1330,0,0,0,0,0,0
Netherlands,2017,738146,17081507,194747.46,259200,16750,29840,26550,247660,132210,9,3,1,1,2,4
Austria,2017,369361.9,8772865,79002.76,162730,15240,27530,12810,112400,65840,21,1,1,0,0,0
Poland,2017,467426.6,37972964,375083.85,749470,133200,236610,525510,710740,319070,302,9,9,18,86,38
Portugal,2017,195947.2,10309573,81134.53,159950,51110,73300,47340,152380,59810,26,2,1,2,22,7
Romania,2017,187772.7,19643949,84179.45,219930,111170,143650,88600,239960,181630,39,3,1,4,10,12
Slovenia,2017,43011.3,2065895,18737.71,33770,12370,14680,4910,32550,18560,5,1,0,1,1,1
Slovakia,2017,84442.9,5435343,35140.71,68010,21390,27150,28040,110930,32230,11,1,1,1,2,5
Finland,2017,226301,5503297,38829.03,130220,17850,30980,35020,87350,32330,16,1,1,2,15,17
Sweden,2017,480025.5,9995153,18334.96,140020,19610,38990,17810,140400,53560,9,1,0,1,7,7
Norway,2017,353316.4,5258317,38977.6,161520,24840,34000,15370,159760,29510,6,0,0,1,0,4
Switzerland,2017,623994,8419550,45984.81,67700,6580,14510,5000,82960,55260,15,1,1,0,0,0
United Kingdom,2017,2359789.9,65844142,472025.71,902460,110090,178850,192780,807090,275460,99,5,4,15,128,45
Belgium,2018,460091.7,11398589,116999.31,169400,19200,28460,31850,113920,68130,13,1,1,1,4,5
Bulgaria,2018,56224.7,7050034,50262.74,96400,30210,47150,88770,72570,44460,75,2,1,4,6,7
Czechia,2018,210970.5,10610055,130834.83,183880,39660,50920,96560,222640,86250,18,1,2,1,5,10
Denmark,2018,302328.7,5781190,52159.76,105510,14510,25480,11430,107760,76810,12,1,0,0,3,2
Germany,2018,3365450,82792351,830492.43,1210490,94660,207010,291780,1125010,601240,162,12,8,6,147,75
Estonia,2018,25817.7,1319133,18687.44,29820,6640,11100,30870,21980,10420,33,1,1,9,5,8
Ireland,2018,326631.3,4830392,69199.35,110120,13630,29110,14620,115140,135220,5,0,0,1,6,2
Greece,2018,179557.7,10741165,88286.09,258680,37530,60970,86130,146040,63380,10,2,1,2,30,11
Spain,2018,1203259,46658447,295102.95,690340,136120,197670,196200,610340,474720,93,8,4,14,49,27
France,2018,2363306,67026224,429229.91,811720,125790,207290,122070,978770,606480,86,3,3,5,24,30
Croatia,2018,52688.8,4105493,19177.08,53920,29270,41160,10150,71080,38820,8,1,0,1,3,2
Italy,2018,1771391.2,60483973,394101.81,639060,141510,174300,108890,897430,358400,205,5,7,8,30,35
Cyprus,2018,21612.6,864236,8515.88,13440,1020,1990,16930,9640,8590,0,0,0,0,6,0
Latvia,2018,29153.6,1934379,10669.95,34650,20430,29100,3860,44700,17480,3,1,0,0,1,1
Lithuania,2018,45514.8,2808901,13805.54,53020,5640,11740,12960,51880,35940,3,0,0,0,1,1
Luxembourg,2018,60362.2,602005,10422.57,20840,1390,2040,1020,10580,5630,1,0,0,0,0,0
Hungary,2018,136073.4,9778371,60315.54,119860,42160,62990,22920,120030,78640,8,1,1,2,3,12
Malta,2018,12954.8,475701,2028.87,5420,380,920,160,2720,1360,0,0,0,0,0,0
Netherlands,2018,773987,17181084,189703.27,252940,16110,28900,24970,240440,129290,6,2,1,0,2,4
Austria,2018,385424,8822267,75419.52,151410,14220,26370,11610,109030,64880,19,1,1,0,0,0
Poland,2018,497842.3,37976687,374406.52,725360,130190,232680,495410,679770,330210,298,9,9,17,82,37
Portugal,2018,205184.1,10291027,60527.69,154030,50230,70060,45210,154420,59100,26,2,1,2,21,7
Romania,2018,204496.9,19533481,87881.4,222120,110700,147140,84320,235930,181580,41,3,1,4,10,12
Slovenia,2018,45864.2,2066880,18616.49,32160,11320,13820,4790,32310,18440,5,1,0,1,1,1
Slovakia,2018,89430,5443120,35924.21,67380,17390,22580,20380,102530,32100,11,1,1,1,2,4
Finland,2018,233462,5513130,48785.91,126720,17800,31100,33120,85430,32120,15,1,1,2,14,15
Sweden,2018,470673.1,10120242,17634.76,136630,18520,37970,17370,136440,53630,8,0,0,1,7,6
Norway,2018,370294.3,5295619,38269.63,160410,24610,33240,16390,157060,30660,6,1,0,1,0,4
Switzerland,2018,622746,8484130,45472.01,64720,6350,14340,4800,81960,54630,15,1,1,0,0,0
United Kingdom,2018,2420897.2,66273576,463835.79,876260,112120,176330,178330,820340,273860,94,6,4,15,131,45
Belgium,2019,478238.9,11455519,115976.03,160210,18410,27380,29500,112820,66490,15,1,1,1,4,5
Bulgaria,2019,61558,7000039,49484.3,91480,30070,44170,74190,74720,42290,10,1,1,3,4,4
Czechia,2019,225613.5,10649800,131786.88,172380,35600,46550,79880,214900,84820,17,1,2,1,5,10
Denmark,2019,309526.4,5806081,47396.71,98610,13010,23190,10440,102820,75290,12,1,0,0,3,2
Germany,2019,3473260,83019213,784842.05,1136780,91940,203600,263530,1121230,586680,161,11,7,5,139,71
Estonia,2019,27732.3,1324820,14301.56,25160,5870,9230,18880,22690,10590,11,1,0,2,2,2
Ireland,2019,356704.6,4904240,66742.41,101020,11890,27840,10870,113890,125410,5,0,0,1,6,2
Greece,2019,183250.4,10724599,82538.09,249740,36880,60740,80380,144080,63890,8,2,1,2,27,10
Spain,2019,1244375,46937060,276723.2,645850,134830,194820,149450,608300,471250,98,7,3,13,44,25
France,2019,2437635,67177636,422251.61,773780,121290,202490,99700,955660,592680,85,3,3,5,25,30
Croatia,2019,55571.4,4076246,19268.79,53920,28600,40820,8150,75220,36760,5,1,0,1,3,2
Italy,2019,1796633.8,59816673,377672.46,626670,139320,172010,105010,894340,354710,199,4,6,7,28,34
Cyprus,2019,23009.9,875899,8558.03,14040,1060,2110,15780,9340,6820,0,0,0,0,5,0
Latvia,2019,30647.2,1919968,8710.42,33110,19960,29410,3700,40620,17700,3,1,0,0,0,1
Lithuania,2019,48859.9,2794184,15058.49,52470,5330,11420,11650,51850,34780,3,0,0,0,1,1
Luxembourg,2019,62704.2,613894,10469.08,19450,1180,1820,1010,11350,5580,1,0,0,0,0,0
Hungary,2019,146113.2,9772756,59672.34,114330,39740,61830,17280,119190,79430,9,1,1,2,2,11
Malta,2019,14047.1,493559,2130.39,5430,380,1010,160,2680,1330,0,0,0,0,0,0
Netherlands,2019,813055,17282163,183851.91,238420,15400,27630,22920,236910,122900,5,3,1,0,2,3
Austria,2019,397518.5,8858775,77111.43,144190,14060,26330,10920,108590,63810,20,1,1,0,0,0
Poland,2019,533599.9,37972812,370215.01,681520,121700,218400,426990,647070,317180,276,9,8,16,78,37
Portugal,2019,214374.6,10276617,55755.87,147550,50210,70650,44250,161480,59010,25,2,1,2,21,7
Romania,2019,223162.5,19414458,85462.7,217490,112030,153070,99050,229580,178240,41,3,1,4,10,12
Slovenia,2019,48396.7,2080908,12186.41,29190,10550,13090,4280,31180,18060,4,1,0,1,1,1
Slovakia,2019,94048,5450421,32933.95,60900,17820,23210,15700,99520,31490,9,1,1,1,1,4
Finland,2019,239858,5517919,39198.47,119810,16620,30030,28930,84520,31590,13,1,1,2,12,14
Sweden,2019,476869.5,10230185,14074.24,127030,17570,36720,16380,134000,53410,8,0,0,1,6,6
Norway,2019,361734.6,5328212,34650.02,150560,23530,32090,16270,152500,28550,6,1,0,1,0,4
Switzerland,2019,653732.6,8544527,43981.61,61330,6150,14130,4440,81150,53800,15,1,1,0,0,0
United Kingdom,2019,2526615.2,66647112,448249.91,842730,108970,170640,163380,813480,272020,93,6,4,15,124,45
