Country,Year,GDP [million Euro],Population,Emissions_GHG [thousand tonnes CO2eq],Emissions_NOx [tonne],Emissions_PM2.5 [tonne],Emissions_PM10 [tonne],Emissions_SOx [tonne],Emissions_NMVOC [tonne],Emissions_NH3 [tonne],Emissions_Pb [tonne],Emissions_Cd [tonne],Emissions_Hg [tonne],Emissions_As [tonne],Emissions_Ni [tonne],Emissions_Cr [tonne]
Switzerland,1992,216721.6,6842768,51299.11,134610,15990,24630,33980,268070,67400,322,3,6,Not Available,Not Available,Not Available
United Kingdom,1992,911231.6,57511594,793322.31,3041740,237450,364560,3426060,2826170,303950,2444,25,37,46,384,170
Belgium,1993,NaN,10068319,144560.09,424600,46380,63640,331860,331970,131420,213,5,4,9,65,37
Bulgaria,1993,NaN,8484863,56436.98,189240,22540,43850,1211740,397340,78580,322,4,2,13,24,10
Czechia,1993,NaN,10325697,156589.51,548240,174470,253580,1302890,448660,137960,242,3,4,33,37,20
Denmark,1993,122269.6,5180614,83892.28,306950,25550,36580,149200,215340,119710,59,1,3,1,17,5
Germany,1993,1768471.4,80974632,1100617.12,2379360,216640,355990,2911380,2882990,629480,949,21,23,27,258,104
Estonia,1993,NaN,1511303,18513.04,43370,22270,53830,156560,34600,12340,105,2,1,11,14,11
Ireland,1993,NaN,3569367,61791.38,173750,27240,42180,161990,140100,113760,130,1,1,2,25,5
Greece,1993,NaN,10430958,101470.14,407320,62060,88070,508480,312450,78110,429,8,2,3,42,6
Spain,1993,NaN,39264034,262151.04,1374750,183610,256210,1944580,957670,425210,1016,22,10,13,165,27
France,1993,1129359.6,58885929,513610.62,1975200,430610,538700,1066810,2710550,647540,1834,19,23,18,231,234
Croatia,1993,NaN,4555771,15321.25,79620,36810,44500,112210,101570,46180,256,1,0,1,12,4
Italy,1993,NaN,56821250,508993.63,2127100,229910,292250,1471480,2128350,465730,2274,11,14,31,108,73
Cyprus,1993,NaN,619231,6510.58,20070,2690,5290,39910,12740,8900,25,0,0,0,8,0
Latvia,1993,NaN,2585675,2834.55,66210,27400,31720,65740,70320,17760,142,1,0,9,10,2
Lithuania,1993,NaN,3693929,18275.17,77950,9630,11590,104050,93050,43700,4,0,0,1,18,1
Luxembourg,1993,NaN,394750,12716.85,44440,15470,16240,17090,24810,5530,18,0,0,Not Available,Not Available,Not Available
Hungary,1993,NaN,10365035,73805.46,195050,55940,81040,720100,229370,83340,241,2,2,3,22,11
Malta,1993,NaN,369455,3100.29,10320,820,1100,15070,3830,2250,0,0,0,0,5,0
Netherlands,1993,NaN,15239182,235316.35,615580,50790,70060,161900,501060,295420,212,3,2,1,80,11
Austria,1993,NaN,7882519,63679.41,206930,26180,39860,52820,286280,62270,99,1,1,0,0,0
Poland,1993,NaN,38418108,441082.21,1112610,307880,586130,2236770,895370,393580,570,10,15,77,184,55
Portugal,1993,NaN,9954958,58436.63,278050,70100,101420,309630,242850,74710,746,2,2,4,113,12
Romania,1993,NaN,22778533,149608.22,348390,64040,105140,699690,244990,263730,341,4,2,36,73,16
Slovenia,1993,NaN,1994084,12677.74,72040,13590,16210,191300,60890,21290,35,1,0,1,2,1
Slovakia,1993,NaN,5314155,43652.33,104270,65980,75110,126250,206500,38560,54,2,2,3,5,5
Finland,1993,76101.5,5054982,49415.07,293130,35590,56540,137600,211020,32280,105,3,1,16,46,38
Sweden,1993,181713.6,8692013,40028.37,257650,43590,63900,83410,299320,60620,144,1,1,3,28,17
Norway,1993,102942.4,4299167,36060.62,204370,40490,50580,35330,370280,28220,90,2,1,4,0,12
Switzerland,1993,232687.8,6907959,48554.46,122650,15210,23610,29070,241320,66460,265,3,5,Not Available,Not Available,Not Available
United Kingdom,1993,907362.9,57649210,773330.56,2883420,220020,335890,3114470,2690570,299670,2171,14,22,43,373,163
Belgium,1994,NaN,10100631,149416.16,421790,45480,62420,290220,314900,131430,164,4,4,7,76,26
Bulgaria,1994,NaN,8459763,52526.62,180230,20020,42700,1331970,145710,70280,328,4,2,14,26,10
Czechia,1994,NaN,10334013,149126.53,453770,136290,194790,1159420,428830,123170,259,2,4,25,32,18
Denmark,1994,131678,5196642,87327.36,308750,24770,35970,151630,216760,115750,26,1,3,1,21,4
Germany,1994,1859310.3,81338093,1088427.03,2252440,209530,349220,2425360,2468130,609860,755,21,21,17,236,98
Estonia,1994,NaN,1476952,19560.12,47990,21310,50670,151070,36800,11600,125,3,1,11,13,10
Ireland,1994,NaN,3583154,63224.5,173230,24890,39640,177140,137650,114820,113,1,1,2,27,4
Greece,1994,NaN,10489871,104454.22,415180,63570,90490,524470,314500,75010,418,8,2,3,46,6
Spain,1994,NaN,39458489,281118.61,1374450,180110,254300,1895140,976250,441040,1000,22,10,13,171,29
France,1994,1175736.5,59104320,508688.75,1904540,394970,503030,993870,2553670,641690,1632,19,22,17,215,206
Croatia,1994,NaN,4645155,14149.55,81280,34380,43680,99660,98880,45020,278,1,0,2,11,5
Italy,1994,NaN,56842392,490109.09,2027020,225340,287430,1388480,2077360,455920,2094,11,14,29,108,70
Cyprus,1994,NaN,632944,6775.85,20630,2660,5190,41860,13190,8910,26,0,0,0,8,0
Latvia,1994,NaN,2540904,-2020.07,56280,26700,30630,66710,65690,16050,149,1,0,10,12,2
Lithuania,1994,NaN,3671296,17395.24,70040,8900,10760,101770,83940,39230,4,0,0,0,18,1
Luxembourg,1994,NaN,400200,12084.76,40950,13260,14370,15540,22600,5580,15,0,0,Not Available,Not Available,Not Available
Hungary,1994,NaN,10350010,72199.01,194170,55060,79380,629850,215360,78780,193,2,2,3,22,12
Malta,1994,NaN,373161,2881.92,10380,820,1080,12710,3680,2220,0,0,0,0,4,0
Netherlands,1994,NaN,15341553,236137.2,576830,47330,65310,148660,465470,254730,183,3,2,1,82,10
Austria,1994,NaN,7928746,64047.33,198800,25890,39540,47190,263850,62250,69,1,1,0,0,0
Poland,1994,NaN,38504707,435977,1100260,278950,528960,2138090,891290,397110,587,11,14,75,178,53
Portugal,1994,NaN,9974391,58656.65,277870,69630,101320,288160,242650,73980,768,2,2,3,105,12
Romania,1994,NaN,22748027,147516.06,348190,67070,107120,665360,258470,244470,359,4,2,38,64,17
Slovenia,1994,NaN,1989408,12896.72,74660,13610,16340,184930,61880,21290,35,1,0,1,2,1
Slovakia,1994,NaN,5336455,41672.93,106270,57410,66620,123120,191960,39550,51,1,2,2,4,5
Finland,1994,87157.1,5077912,61751.5,293850,35020,55830,122680,210120,33260,74,3,1,11,45,41
Sweden,1994,192863,8745109,40373.02,261030,42620,63090,82100,293540,61670,47,1,1,1,32,15
Norway,1994,107143.7,4324815,40038.24,208650,42620,51860,35150,386190,27440,28,2,1,4,0,12
Switzerland,1994,254448.5,6968570,48860.45,120130,14450,22750,26320,223390,66220,233,3,5,Not Available,Not Available,Not Available
United Kingdom,1994,960427.9,57788017,762031.43,2813890,210700,318290,2833100,2537520,304740,1872,14,21,41,376,153
Belgium,1995,220251.5,10130574,151311.86,415990,44400,60940,257720,306530,134540,197,5,3,6,71,32
Bulgaria,1995,14512.8,8427418,54038.12,181900,19780,43710,1302010,140310,61410,369,4,2,15,28,10
Czechia,1995,46008.4,10333161,147738.4,384910,120370,163110,1058970,391100,115180,260,2,4,17,28,17
Denmark,1995,141441.4,5215718,84425.26,290300,24500,36200,145770,212670,109120,26,1,2,1,13,3
Germany,1995,1977604.1,81538603,1090715.5,2195580,205640,346170,1751450,2340450,612750,682,19,20,9,208,94
Estonia,1995,2988.1,1448075,17281.14,48760,20280,47420,116980,40980,10540,88,2,1,10,11,10
Ireland,1995,52881.3,3597617,65824.21,171480,23270,37450,163210,136300,115560,99,1,1,2,27,5
Greece,1995,104662.1,10535973,106526.69,401920,62350,87690,516570,303400,78390,405,8,2,3,47,7
Spain,1995,470155.7,39639726,295434.41,1355290,175590,251310,1762980,957550,430620,858,22,13,12,192,30
France,1995,1224717.2,59315139,511596.26,1868770,396790,504910,937390,2477580,646960,1458,18,21,17,214,197
Croatia,1995,17581.4,4658893,14321.69,82550,36440,45730,77370,119680,42720,260,1,0,1,14,4
Italy,1995,898299.3,56844408,509920.43,1988850,225410,288040,1322080,2058670,451560,1996,11,14,28,110,69
Cyprus,1995,7596,645399,6703.32,20430,2630,5050,39630,13440,9110,26,0,0,0,7,0
